Experiment,Fold,psnr_roi,ssim_roi,mae,calibration_bias,variance_ratio,psnr_enh,ssim_enh,grad_enh,lpips,lpips_enh,sharpness_pred,sharpness_gt,sharpness_ratio,sharpness_ratio_enh
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,0,17.49884369215428,0.2384822444977881,0.6343434799448581,0.3172105211879548,0.2125340353050379,13.800294731122488,0.4845828067293071,1.1746113528008577,0.2805271391953943,0.0148897056701461,0.1535592893274562,0.5997624060068767,0.2587311363962933,0.0976654479760443
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,1,,,,,,,,,,,,,,
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,2,,,,,,,,,,,,,,
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,3,,,,,,,,,,,,,,
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,4,,,,,,,,,,,,,,
EXP-803_SharpFreq_LSGAN_Iter1,0,24.03289716564509,0.749917995701995,0.1998644964983526,-0.0349949360995119,0.9058768103815796,16.898910519271094,0.580697725952815,1.2219419780396088,0.2524718338713162,0.0215527159753794,0.3181978196068851,0.5997624060068767,0.537437976029938,0.4524851369226755
EXP-803_SharpFreq_LSGAN_Iter1,1,,,,,,,,,,,,,,
EXP-803_SharpFreq_LSGAN_Iter1,2,,,,,,,,,,,,,,
EXP-803_SharpFreq_LSGAN_Iter1,3,,,,,,,,,,,,,,
EXP-803_SharpFreq_LSGAN_Iter1,4,,,,,,,,,,,,,,
EXP-806_GroupNorm_CosineLR_Iter4,0,23.78036187924044,0.7434311933637262,0.2033276978449486,-0.0336748510385545,0.942757100049764,17.33150555327857,0.5815361443801218,1.2632439069351875,0.2693923970674575,0.0303784864037656,0.3899988222335445,0.5997624060068767,0.6509074129138289,0.5816403938547459
EXP-806_GroupNorm_CosineLR_Iter4,1,,,,,,,,,,,,,,
EXP-806_GroupNorm_CosineLR_Iter4,2,,,,,,,,,,,,,,
EXP-806_GroupNorm_CosineLR_Iter4,3,,,,,,,,,,,,,,
EXP-806_GroupNorm_CosineLR_Iter4,4,,,,,,,,,,,,,,
EXP-813_StratifiedEnh_Sharpness,0,23.820016867378023,0.7442517835292395,0.2029642575950773,-0.0214340113412675,0.8949448515983389,17.069457364834363,0.5810402986089677,1.2443430280197698,0.2371087218401119,0.0258279251923007,0.3731931041553964,0.5997624060068767,0.6256511253059067,0.5363588130344823
EXP-813_StratifiedEnh_Sharpness,1,23.89361468823087,0.7456299127623035,0.2069546353646295,-0.0168014218497138,0.9197303093201932,16.78318713412403,0.575810022484772,1.2471743878496289,0.2321243873135225,0.0243659004711649,0.3672886265375276,0.5997624060068767,0.617892946226494,0.5189488695112612
EXP-813_StratifiedEnh_Sharpness,2,24.085730490715672,0.7458535609051222,0.1972820198916385,-0.0122200596825404,0.9463275757380124,17.804798844010183,0.599942038314291,1.2377166613839536,0.2197695356473869,0.0265261671249185,0.3730900793995333,0.5997624060068767,0.6290049805328555,0.5648161027198073
EXP-813_StratifiedEnh_Sharpness,3,24.10662392084672,0.7485665006745237,0.197929505606486,-0.0229939554762848,0.9113765597891884,17.31824784129719,0.5925114727061498,1.234379368494134,0.2089914888435845,0.0266544240221637,0.3592759244953718,0.5997624060068767,0.6033861542420945,0.5397916098964046
EXP-813_StratifiedEnh_Sharpness,4,24.11178733813541,0.7477264571781829,0.1979110844497119,-0.0256736890087394,0.892269724621381,16.87743780960303,0.5817378005063876,1.234665930323564,0.2419778991805485,0.025136474341351,0.3536597685559897,0.5997624060068767,0.593760782824,0.5126452384236464
EXP-815_EnhSegHead_EagerInit_FastTrain,0,23.831783963684195,0.7440235984916852,0.2038010630245365,-0.0478849615854256,0.8710485639450516,16.85103146229279,0.5757116522494721,1.269713849996116,0.2346623417294553,0.025451518951388,0.4190288882241235,0.5997624060068767,0.70403445626482,0.6160618678308305
EXP-815_EnhSegHead_EagerInit_FastTrain,1,,,,,,,,,,,,,,
EXP-815_EnhSegHead_EagerInit_FastTrain,2,,,,,,,,,,,,,,
EXP-815_EnhSegHead_EagerInit_FastTrain,3,,,,,,,,,,,,,,
EXP-815_EnhSegHead_EagerInit_FastTrain,4,,,,,,,,,,,,,,
EXP-816_CalibratedGate_BalancedSeg,0,23.77401459266492,0.7415826696888032,0.2063652819599654,-0.0604624718526337,0.8610189223722573,16.654852441100935,0.5717757374956646,1.2678909810838952,0.2453248258279844,0.0296937914186893,0.410824063763436,0.5997624060068767,0.6887342336739215,0.6092940688514212
EXP-816_CalibratedGate_BalancedSeg,1,23.56178155154792,0.740985317613018,0.2081725593360327,-0.0608676409992042,0.7865147213211955,15.514899081731324,0.5480836719641073,1.235284244206864,0.2202440187616632,0.0269910572537671,0.3645845287559888,0.5997624060068767,0.6148932584853825,0.485337015197254
EXP-816_CalibratedGate_BalancedSeg,2,23.778927663664355,0.7407195291584634,0.2046450441787786,-0.0556773970784424,0.8428525772596416,16.54308432702287,0.5667410586836074,1.2689255826184445,0.2405656965116639,0.0278428885010191,0.4012046601078717,0.5997624060068767,0.6749577636363482,0.5828396513914046
EXP-816_CalibratedGate_BalancedSeg,3,23.808523468468955,0.7410866745404584,0.2041671139045293,-0.0485944220721908,0.8389885239550136,16.578504949985707,0.5781185643263613,1.23743828807275,0.2344311806334419,0.0239033173929379,0.3905496934461539,0.5997624060068767,0.6567879460096947,0.5457676291509903
EXP-816_CalibratedGate_BalancedSeg,4,24.108907416171043,0.7431416849174663,0.1972405946645207,-0.0498387740188129,0.8600021040748944,17.04078002870633,0.5707205358674508,1.331218997627535,0.2375805602282027,0.0276840861813239,0.409040408018936,0.5997624060068767,0.6826965631637618,0.6187634961537328
